A_atomic_number,A_boiling_point,A_electron_affinity,A_electronegativity,A_first_ionization_energy,A_melting_point,A_second_ionization_energy,A_thermal_conductivity,A_third_ionization_energy,A_van_der_waals_radius,B1_atomic_number,B1_boiling_point,B1_electron_affinity,B1_electronegativity,B1_first_ionization_energy,B1_melting_point,B1_second_ionization_energy,B1_thermal_conductivity,B1_third_ionization_energy,B1_van_der_waals_radius,B2_atomic_mass,B2_boiling_point,B2_electron_affinity,B2_electronegativity,B2_first_ionization_energy,B2_ionic_radius,B2_thermal_conductivity,B2_third_ionization_energy,B2_van_der_waals_radius,X_atomic_mass,X_electron_affinity,X_electronegativity,X_second_ionization_energy,X_thermal_conductivity,X_third_ionization_energy,octahedral_factor,tolerance_factor,formation_energy
0.675,1.0,0.631051241483586,0.2012987012987013,0.2552783807906531,0.5670381148413655,0.0179951417410657,0.02970002140709785,0.0,0.4117647058823528,0.2527472527472528,0.494604183605588,0.23107283313178106,0.5489130434782608,0.5904280551890966,0.4555983217171192,0.08565278179452332,0.18559953835128115,0.08516770530461187,0.33999999999999986,0.21831020969463294,0.5357167578043884,0.43325184005204226,0.3904382470119521,0.29494132762254455,0.2994350282485876,0.2116115891701014,0.11883781270342123,0.463917525773196,0.0,0.0,0.6142857142857143,1.0000000000000002,0.040172688025448766,0.7654522092173394,0.22590361420133548,0.5775163044579318,-2.659749639
0.675,1.0,0.631051241483586,0.2012987012987013,0.2552783807906531,0.5670381148413655,0.0179951417410657,0.02970002140709785,0.0,0.4117647058823528,0.26373626373626374,0.5068002069628206,0.36577026751875824,0.5760869565217389,0.5870271671490643,0.44317301801958,0.09926918381899688,0.2321367075883508,0.10631544251343197,0.31333333333333324,0.2648370236945233,0.41302692600539903,0.23569486501115067,0.35059760956175307,0.10145385870111301,0.25988700564971756,0.06742255828085744,0.08572263855618484,0.3608247422680413,0.0,0.0,0.6142857142857143,1.0000000000000002,0.040172688025448766,0.7654522092173394,0.2048192775717811,0.598576308573633,-2.822651518
0.675,1.0,0.631051241483586,0.2012987012987013,0.2552783807906531,0.5670381148413655,0.0179951417410657,0.02970002140709785,0.0,0.4117647058823528,0.09890109890109891,0.16734422351984626,0.07938498063368997,0.2663043478260869,0.5498179040404716,0.1990013523353792,0.06774853371675044,0.37174821529955976,0.4525445036834289,0.1333333333333333,0.20246877359644644,0.388281304076971,0.046160323370421474,0.24701195219123512,0.27066481705382506,0.2090395480225989,0.018119212234857882,0.10756248352820266,0.5463917525773194,0.0,0.0,0.6142857142857143,1.0000000000000002,0.040172688025448766,0.7654522092173394,0.27108433777413266,0.5344734994505361,-3.184707558
0.675,1.0,0.631051241483586,0.2012987012987013,0.2552783807906531,0.5670381148413655,0.0179951417410657,0.02970002140709785,0.0,0.4117647058823528,0.3186813186813187,0.48702786606548887,0.516710597432894,0.6467391304347824,0.5899473400505606,0.2823375752742236,0.08158258220384138,0.13906236911421152,0.11045443102436145,0.3866666666666665,0.07324758815316018,0.22025333979372877,0.06924048505563223,0.151394422310757,0.29569118214156853,0.3163841807909605,0.3720800267726471,0.4525445036834289,0.21649484536082486,0.0,0.0,0.6142857142857143,1.0000000000000002,0.040172688025448766,0.7654522092173394,0.15662650643228337,0.6492412106195135,-3.252933119
0.675,1.0,0.631051241483586,0.2012987012987013,0.2552783807906531,0.5670381148413655,0.0179951417410657,0.02970002140709785,0.0,0.4117647058823528,0.26373626373626374,0.5068002069628206,0.36577026751875824,0.5760869565217389,0.5870271671490643,0.44317301801958,0.09926918381899688,0.2321367075883508,0.10631544251343197,0.31333333333333324,0.20629463551267826,0.5267183498304145,0.20154435916601662,0.3585657370517929,0.3259108735703248,0.2740112994350283,0.18602966433491294,0.08516770530461187,0.536082474226804,0.0,0.0,0.6142857142857143,1.0000000000000002,0.040172688025448766,0.7654522092173394,0.2048192775717811,0.598576308573633,-2.69723703
0.675,1.0,0.631051241483586,0.2012987012987013,0.2552783807906531,0.5670381148413655,0.0179951417410657,0.02970002140709785,0.0,0.4117647058823528,0.2417582417582418,0.34677359745731395,0.05292332042245998,0.3967391304347826,0.5161867046184012,0.37122184079429477,0.07705060108741393,0.01760035740545974,0.10756248352820266,0.34666666666666646,0.21831020969463294,0.5357167578043884,0.43325184005204226,0.3904382470119521,0.29494132762254455,0.2994350282485876,0.2116115891701014,0.11883781270342123,0.463917525773196,0.0,0.0,0.6142857142857143,1.0000000000000002,0.040172688025448766,0.7654522092173394,0.15662650643228337,0.6492412106195135,-2.771377149
0.675,1.0,0.631051241483586,0.2012987012987013,0.2552783807906531,0.5670381148413655,0.0179951417410657,0.02970002140709785,0.0,0.4117647058823528,0.3076923076923077,0.3731983147313179,0.270226765155343,0.5380434782608695,0.288795812460965,0.019819804200330582,0.1520424133871602,0.06692975679675356,0.08572263855618484,0.22666666666666657,0.21831020969463294,0.5357167578043884,0.43325184005204226,0.3904382470119521,0.29494132762254455,0.2994350282485876,0.2116115891701014,0.11883781270342123,0.463917525773196,0.0,0.0,0.6142857142857143,1.0000000000000002,0.040172688025448766,0.7654522092173394,0.21084337362084482,0.5924931875162186,-2.754215712
0.675,1.0,0.631051241483586,0.2012987012987013,0.2552783807906531,0.5670381148413655,0.0179951417410657,0.02970002140709785,0.0,0.4117647058823528,0.23076923076923078,0.45949441939537283,0.36936275543235525,0.4565217391304346,0.4103903856718709,0.562224765075072,0.09006900988026337,0.21817555681722992,0.08745394716502483,0.3533333333333333,0.20629463551267826,0.5267183498304145,0.20154435916601662,0.3585657370517929,0.3259108735703248,0.2740112994350283,0.18602966433491294,0.08516770530461187,0.536082474226804,0.0,0.0,0.6142857142857143,1.0000000000000002,0.040172688025448766,0.7654522092173394,0.20783132513848163,0.5955280635327923,-3.017277792
0.675,1.0,0.631051241483586,0.2012987012987013,0.2552783807906531,0.5670381148413655,0.0179951417410657,0.02970002140709785,0.0,0.4117647058823528,0.23076923076923078,0.45949441939537283,0.36936275543235525,0.4565217391304346,0.4103903856718709,0.562224765075072,0.09006900988026337,0.21817555681722992,0.08745394716502483,0.3533333333333333,0.20246877359644644,0.388281304076971,0.046160323370421474,0.24701195219123512,0.27066481705382506,0.2090395480225989,0.018119212234857882,0.10756248352820266,0.5463917525773194,0.0,0.0,0.6142857142857143,1.0000000000000002,0.040172688025448766,0.7654522092173394,0.20783132513848163,0.5955280635327923,-3.078259612
0.675,1.0,0.631051241483586,0.2012987012987013,0.2552783807906531,0.5670381148413655,0.0179951417410657,0.02970002140709785,0.0,0.4117647058823528,0.2527472527472528,0.494604183605588,0.23107283313178106,0.5489130434782608,0.5904280551890966,0.4555983217171192,0.08565278179452332,0.18559953835128115,0.08516770530461187,0.33999999999999986,0.2648370236945233,0.41302692600539903,0.23569486501115067,0.35059760956175307,0.10145385870111301,0.25988700564971756,0.06742255828085744,0.08572263855618484,0.3608247422680413,0.0,0.0,0.6142857142857143,1.0000000000000002,0.040172688025448766,0.7654522092173394,0.22590361420133548,0.5775163044579318,-2.96994971
0.675,1.0,0.631051241483586,0.2012987012987013,0.2552783807906531,0.5670381148413655,0.0179951417410657,0.02970002140709785,0.0,0.4117647058823528,0.3076923076923077,0.3731983147313179,0.270226765155343,0.5380434782608695,0.288795812460965,0.019819804200330582,0.1520424133871602,0.06692975679675356,0.08572263855618484,0.22666666666666657,0.20246877359644644,0.388281304076971,0.046160323370421474,0.24701195219123512,0.27066481705382506,0.2090395480225989,0.018119212234857882,0.10756248352820266,0.5463917525773194,0.0,0.0,0.6142857142857143,1.0000000000000002,0.040172688025448766,0.7654522092173394,0.21084337362084482,0.5924931875162186,-3.03896386
0.675,1.0,0.631051241483586,0.2012987012987013,0.2552783807906531,0.5670381148413655,0.0179951417410657,0.02970002140709785,0.0,0.4117647058823528,0.26373626373626374,0.5068002069628206,0.36577026751875824,0.5760869565217389,0.5870271671490643,0.44317301801958,0.09926918381899688,0.2321367075883508,0.10631544251343197,0.31333333333333324,0.21831020969463294,0.5357167578043884,0.43325184005204226,0.3904382470119521,0.29494132762254455,0.2994350282485876,0.2116115891701014,0.11883781270342123,0.463917525773196,0.0,0.0,0.6142857142857143,1.0000000000000002,0.040172688025448766,0.7654522092173394,0.2048192775717811,0.598576308573633,-2.570177085
0.675,1.0,0.631051241483586,0.2012987012987013,0.2552783807906531,0.5670381148413655,0.0179951417410657,0.02970002140709785,0.0,0.4117647058823528,0.2417582417582418,0.34677359745731395,0.05292332042245998,0.3967391304347826,0.5161867046184012,0.37122184079429477,0.07705060108741393,0.01760035740545974,0.10756248352820266,0.34666666666666646,0.24663902235308507,0.18858586557762855,0.023080161685210737,0.2868525896414342,0.5018435028285555,0.3276836158192091,0.2790548455537801,0.15251014696118562,0.5051546391752577,0.0,0.0,0.6142857142857143,1.0000000000000002,0.040172688025448766,0.7654522092173394,0.15662650643228337,0.6492412106195135,-2.898018953
0.675,1.0,0.631051241483586,0.2012987012987013,0.2552783807906531,0.5670381148413655,0.0179951417410657,0.02970002140709785,0.0,0.4117647058823528,0.26373626373626374,0.5068002069628206,0.36577026751875824,0.5760869565217389,0.5870271671490643,0.44317301801958,0.09926918381899688,0.2321367075883508,0.10631544251343197,0.31333333333333324,0.20246877359644644,0.388281304076971,0.046160323370421474,0.24701195219123512,0.27066481705382506,0.2090395480225989,0.018119212234857882,0.10756248352820266,0.5463917525773194,0.0,0.0,0.6142857142857143,1.0000000000000002,0.040172688025448766,0.7654522092173394,0.2048192775717811,0.598576308573633,-3.221662348
0.675,1.0,0.631051241483586,0.2012987012987013,0.2552783807906531,0.5670381148413655,0.0179951417410657,0.02970002140709785,0.0,0.4117647058823528,0.2417582417582418,0.34677359745731395,0.05292332042245998,0.3967391304347826,0.5161867046184012,0.37122184079429477,0.07705060108741393,0.01760035740545974,0.10756248352820266,0.34666666666666646,0.18560991145664157,0.6212016335571399,0.2879624068849341,0.27888446215139434,0.18954053571295726,0.21468926553672318,0.0720738173418008,0.07522181092549707,0.5670103092783503,0.0,0.0,0.6142857142857143,1.0000000000000002,0.040172688025448766,0.7654522092173394,0.15662650643228337,0.6492412106195135,-3.156256126
